Well,Strain,Arsenic,Concentration
A01,I2745,III,0
A02,I2745,III,0
A03,I2745,III,0
A04,I2759,III,0
A05,I2759,III,0
A06,I2759,III,0
A07,A2705,III,0
A08,A2705,III,0
A09,A2705,III,0
A10,A2708,III,0
A11,A2708,III,0
A12,A2708,III,0
B01,I2745,III,1
B02,I2745,III,1
B03,I2745,III,1
B04,I2759,III,1
B05,I2759,III,1
B06,I2759,III,1
B07,A2705,III,1
B08,A2705,III,1
B09,A2705,III,1
B10,A2708,III,1
B11,A2708,III,1
B12,A2708,III,1
C01,I2745,III,3
C02,I2745,III,3
C03,I2745,III,3
C04,I2759,III,3
C05,I2759,III,3
C06,I2759,III,3
C07,A2705,III,3
C08,A2705,III,3
C09,A2705,III,3
C10,A2708,III,3
C11,A2708,III,3
C12,A2708,III,3
D01,I2745,III,5
D02,I2745,III,5
D03,I2745,III,5
D04,I2759,III,5
D05,I2759,III,5
D06,I2759,III,5
D07,A2705,III,5
D08,A2705,III,5
D09,A2705,III,5
D10,A2708,III,5
D11,A2708,III,5
D12,A2708,III,5
E01,A2716,III,0
E02,A2716,III,0
E03,A2716,III,0
E04,A2727,III,0
E05,A2727,III,0
E06,A2727,III,0
E07,A2723,III,0
E08,A2723,III,0
E09,A2723,III,0
E10,NEG,III,0
E11,NEG,III,7
E12,A2723,III,7
F01,A2716,III,1
F02,A2716,III,1
F03,A2716,III,1
F04,A2727,III,1
F05,A2727,III,1
F06,A2727,III,1
F07,A2723,III,1
F08,A2723,III,1
F09,A2723,III,1
F10,NEG,III,1
G01,A2716,III,3
G02,A2716,III,3
G03,A2716,III,3
G04,A2727,III,3
G05,A2727,III,3
G06,A2727,III,3
G07,A2723,III,3
G08,A2723,III,3
G09,A2723,III,3
G10,NEG,III,3
H01,A2716,III,5
H02,A2716,III,5
H03,A2716,III,5
H04,A2727,III,5
H05,A2727,III,5
H06,A2727,III,5
H07,A2723,III,5
H08,A2723,III,5
H09,A2723,III,5
H10,NEG,III,5